,0,1,2,3,4,5,6,7,8,9,10,11
17,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 481064 : JAYANAGAR  (Truly Asian) : 240731FS29004852 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
18,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 400156 : KAMMANNAHALLI : 240731FS29003938 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
19,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 400156 : KAMMANNAHALLI : 240731FS29003938 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
20,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 479169 : KAMMANNAHALLI  (Truly Asian) : 240731FS29006465 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
21,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 588012 : LAVELLE ROAD : 240731FS29004560 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
22,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 588012 : LAVELLE ROAD : 240731FS29004560 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
23,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 588012 : LAVELLE ROAD : 240731FS29004560 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
24,441013,Gift Vouchers,,,,Expenses,Direct Vertical Costs,Lounge Costs,Advertisement - Direct,Advertisement - Direct,Verical Cost,Advertisements & Marketing
25,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785521 : LAVELLE ROAD  (Truly Asian) : 240731FS29006180 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
26,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785521 : LAVELLE ROAD  (Truly Asian) : 240731FS29006180 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
27,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 70012 : NEW KORAMANGALA : 240731FS29004897 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
28,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 70012 : NEW KORAMANGALA : 240731FS29004897 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
29,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 439076 : NEW KORAMANGALA (Truly Asian) : 240731FS29006303 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
30,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9256 : ORION  : 240731FS29006573 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
31,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 9256 : ORION  : 240731FS29006573 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
32,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 577056 : SADASHIVANAGAR : 240731FS29006413 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
33,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 577056 : SADASHIVANAGAR : 240731FS29006413 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
34,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 577056 : SADASHIVANAGAR : 240731FS29006413 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
35,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785522 : SADASHIVANAGAR  (Truly Asian) : 240731FS29006181 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
36,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785522 : SADASHIVANAGAR  (Truly Asian) : 240731FS29006181 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
37,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 413039 : SHANTIKETHAN  : 240731FS29004903 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
38,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 413039 : SHANTIKETHAN  : 240731FS29004903 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
39,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 95311 : VEGACITY  : 240731FS29006318 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
40,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 95311 : VEGACITY  : 240731FS29006318 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
41,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 95311 : VEGACITY  : 240731FS29006318 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
42,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 485215 : WHITEFIELD NEW : 240731FS29006414 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
43,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 485215 : WHITEFIELD NEW : 240731FS29006414 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
44,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785520 : WHITEFIELD NEW  (Truly Asian) : 240731FS29006412 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
45,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 785520 : WHITEFIELD NEW  (Truly Asian) : 240731FS29006412 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
46,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 338136 : LOYAL - ELECTRONIC CITY : 240731FS29006366 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
47,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 338136 : LOYAL - ELECTRONIC CITY : 240731FS29006366 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
48,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 338136 : LOYAL - ELECTRONIC CITY : 240731FS29006366 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
49,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 307540 : LOYAL - HSR : 240731FS29006166 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
50,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 307540 : LOYAL - HSR : 240731FS29006166 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
51,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 519529 : LOYAL - J.P. NAGAR : 240731FS29006665 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
52,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 519529 : LOYAL - J.P. NAGAR : 240731FS29006665 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
53,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 519529 : LOYAL - J.P. NAGAR : 240731FS29006665 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
54,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 557422 : LOYAL - MAHADEVPURA : 240731FS29006351 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
55,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 557422 : LOYAL - MAHADEVPURA : 240731FS29006351 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
56,431020,Commission on Sales - Aggregators - Lounge,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 546546 : LOYAL - SARJAPURA : 240731FS29004326 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Vertical Cost,Aggregator Commission
57,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited- Cr,Being commission invoice for : 21-27 JUL : 546546 : LOYAL - SARJAPURA : 240731FS29004326 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
58,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457112 : REBAL - BASAVESHWARANAGAR : 240731FS29006194 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
59,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457112 : REBAL - BASAVESHWARANAGAR : 240731FS29006194 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
60,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457112 : REBAL - BASAVESHWARANAGAR : 240731FS29006194 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
61,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 571008 : REBAL - KADUGODI : 240731FS29006226 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
62,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 571008 : REBAL - KADUGODI : 240731FS29006226 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
63,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 352903 : REBAL - MARATHAHALLI  : 240731FS29006454 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
64,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 352903 : REBAL - MARATHAHALLI  : 240731FS29006454 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
65,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 352903 : REBAL - MARATHAHALLI  : 240731FS29006454 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
66,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 519528 : REBAL - RT NAGAR : 240731FS29006461 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
67,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 519528 : REBAL - RT NAGAR : 240731FS29006461 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
68,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457018 : REBAL - UTTARAHALLI  : 240731FS29006196 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
69,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457018 : REBAL - UTTARAHALLI  : 240731FS29006196 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
70,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 457018 : REBAL - UTTARAHALLI  : 240731FS29006196 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
71,431045,Commission on Sales - Agg - Lounge - Rebel (S/Z),Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 485213 : REBAL -  YELAHANAKA : 240731FS29006293 :31/07/2024,,Expenses,Direct Vertical Costs,Lounge Costs,Sales Commission,Sales Commission,Rebel Commission,Rebel Commission
72,431042,Online Marketing (Carousal)_x000D_,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 485213 : REBAL -  YELAHANAKA : 240731FS29006293 :31/07/2024,,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Swiggy,Vertical Cost,Performance Marketing
73,431036,Order Cancelation - E Commerce,Bundl Technologies Private Limited-Rebel,Being commission invoice for : 21-27 JUL : 485213 : REBAL -  YELAHANAKA : 240731FS29006293 :31/07/2024,,Expenses,Corporate Costs,Corporate Costs,Office Expenses,Office Expenses,Corporate Cost,Other Expenses
74,431024,Lounge - DG,Blue Horizon Hotels Private Limited-CR,Being Vegacity Storage DG charges for the month of Jul-24 Inv no DG-24-25-07-043  01.08.24 (LDC Received),,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Verical Cost,Other Infra Cost
75,431024,Lounge - DG,Blue Horizon Hotels Private Limited-CR,Being Vegacity Store DG charges for the month of Jul-24 Inv no DG-24-25-07-042 01.08.24  (LDC received),,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Verical Cost,Other Infra Cost
76,431025,Lounge - Water,Blue Horizon Hotels Private Limited-CR,Being Vegacity water charges for the month of Jul-24 Inv no WC-24-25-07-028 01.08.24 TDS DD 0.2% on Rs 1500/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Verical Cost,Other Infra Cost
77,431010,Power & ElectricityLounge,Blue Horizon Hotels Private Limited-CR,Being Vegacity storage power charges for the month of Jul-24 Inv no EB-24-24-07-123  01.08.24 TDS DD 0.2% on Rs 6110/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Vertical Cost,Other Infra Cost
78,431010,Power & ElectricityLounge,Blue Horizon Hotels Private Limited-CR,Being Vegacity store power charges for the month of Jul-24 Inv no EB-24-25-07-045 01.08.24 TDS DD 0.2% on Rs 13792/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Vertical Cost,Other Infra Cost
79,431023,Lounge - CAM,Blue Horizon Hotels Private Limited-CR,Being Vegacity CAM charges for the month of Aug-24 Inv no CAM-24-25-08-042 01.08.24 TDS DD 0.2% on Rs 14000/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - CAM,Verical Cost,Other Infra Cost
80,431022,Lounge Rent-GST @ 18%,Blue Horizon Hotels Private Limited-CR,Being Vegacity storage power charges for the month of Aug-24 Inv no LF-24-25-08-074 01.08.24 TDS DD 0.5% on Rs 13225/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - Rentals,Verical Cost,Store Rental Cost
81,431022,Lounge Rent-GST @ 18%,Blue Horizon Hotels Private Limited-CR,Being Vegacity store rent for the month of Aug-24 Inv no LF-24-25-08-009 01.08.24 TDS DD 0.5% on Rs 230000/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - Rentals,Verical Cost,Store Rental Cost
82,431022,Lounge Rent-GST @ 18%,Syed Farook - Prestige Pinnacle Rental,Being Pinnacle 50% rent for the month of Aug-24 Inv no SF/AUG/2024/02 01.08.24 TDS DD 10% on Rs 191442/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - Rentals,Verical Cost,Store Rental Cost
83,431022,Lounge Rent-GST @ 18%,Syed Mukarram - Prestige Pinnacle Rental,Being Pinnacle 50% rent for the month of Aug-24 Inv no SM/AUG/2024/05 01.08.24 TDS DD 10% on Rs 191442/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - Rentals,Verical Cost,Store Rental Cost
84,441009,Advertising & Marketing Costs @18%,Abhinna Cita Transformation Solutions LLP-Cr,"Being Amazon, Flipkart, Instamark & Blinkit Marketplace Handling charges for the month of Jul-24 Inv no INVBW-000189 01.08.24 TDS DD 10% on Rs 95000/-",,Expenses,Selling & Dist Cost,Selling & Dist Cost,Business Development,Business Development,Corporate Cost,Advertisements & Marketing
85,431022,Lounge Rent-GST @ 18%,Nexus Shantiniketan Retail Pvt Ltd-Cr,Being Shantiniketan rent for the month of Aug-24 Inv no 24252906103481 01.08.24 TDS DD 0.1% on Rs 125000/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,Lounge - Rentals,Verical Cost,Store Rental Cost
86,421024,Repair & Maintenance - General @ 18%,UNITED POWER SYSTEMS,Being HAL DG service & service items charges Inv no UPSDG/2024-25/127 01.08.24 TDS DD 1% on Rs 14290/-,,Expenses,Factory Overheads,Factory Overheads,Factory Maintenance Costs,Factory Maintenance Costs,Factory Cost,Factory Maintenance Cost
87,421010,DG - Factory,UNITED POWER SYSTEMS,Being HAL Factory DG charges for the month of Jul-24 Inv no UPSDG/2024-25/119 01.08.24 TDS DD 1% on Rs 15000/-,,Expenses,Factory Overheads,Factory Overheads,"Factory /WH - Electricity, DG & Water","Factory /WH - Electricity, DG & Water",Factory Cost,Other  Factory Overheads
88,421010,DG - Factory,UNITED POWER SYSTEMS,Being HAL chocolate packing warehouse DG charges for the month of Jul-24 Inv no UPSDG/2024-25/121 01.08.24 TDS DD 1% on Rs 15000/-,,Expenses,Factory Overheads,Factory Overheads,"Factory /WH - Electricity, DG & Water","Factory /WH - Electricity, DG & Water",Factory Cost,Other  Factory Overheads
89,431024,Lounge - DG,UNITED POWER SYSTEMS,Being BEL road lounge DG charges for the month of Jul-24 Inv no UPSDG/2024-25/123 01.08.24 TDS DD 1% on Rs 15000/-,,Expenses,Direct Vertical Costs,Lounge Costs,Store - Infra Costs,"Lounge - Electricity, DG, Water",Verical Cost,Other Infra Cost
90,451018,Bank Charges,,being PHI EDC amount received for 30-07-2024 & 31-07-2024,,Expenses,Corporate Costs,Corporate Costs,Other Corporate Expenses,Other Corporate Expenses,Corporate Cost,Finance Cost
91,411008,PM - Freight Inward Exempt,,"Being Freight amount paid to VRL Logistics Ltd, since Nikita Container by mistake material dispatched via VRL on topay basis ( Nikita containers inv.no.241000461/24.07.2024)",,Expenses,Purchases - PM - Freight,Production Costs - Direct,Factory - Freight Inwards,Factory Supplies,Factory Cost,Other  Factory Overheads
